hospital_name,city,state,address
Royal Perth Hospital,Perth,WA,"197 Wellington St, Perth WA 6000"
Fiona Stanley Hospital,Murdoch,WA,"11 Robin Warren Dr, Murdoch WA 6150"
Sir Charles Gairdner Hospital,Nedlands,WA,"Hospital Ave, Nedlands WA 6009"
The Canberra Hospital,Canberra,ACT,"Yamba Dr, Garran ACT 2605"
Concord Repatriation General Hospital,Sydney,NSW,"Hospital Rd, Concord NSW 2139"
Gosford Hospital,Gosford,NSW,"75 Holden St, Gosford NSW 2250"
Nepean Hospital,Kingswood,NSW,"62 Derby St, Kingswood NSW 2747"
Orange Hospital,Orange,NSW,"1530 Forest Rd, Orange NSW 2800"
Wollongong Hospital,Wollongong,NSW,"Loftus St, Wollongong NSW 2500"
Royal Darwin Hospital,Darwin,NT,"105 Rocklands Dr, Tiwi NT 0810"
Cairns Hospital,Cairns,QLD,"165-171 Esplanade, Cairns North QLD 4870"
Gold Coast University Hospital,Southport,QLD,"1 Hospital Blvd, Southport QLD 4215"
Ipswich Hospital,Ipswich,QLD,"Chelmsford Ave, Ipswich QLD 4305"
Mackay Base Hospital,Mackay,QLD,"475 Bridge Rd, Mackay QLD 4740"
Princess Alexandra Hospital,Brisbane,QLD,"199 Ipswich Rd, Woolloongabba QLD 4102"
Royal Brisbane and Womens Hospital,Brisbane,QLD,"Butterfield St, Herston QLD 4029"
Sunshine Coast University Hospital,Birtinya,QLD,"6 Doherty St, Birtinya QLD 4575"
The Prince Charles Hospital,Brisbane,QLD,"Rode Rd & Hamilton Rd, Chermside QLD 4032"
Townsville University Hospital,Douglas,QLD,"100 Angus Smith Dr, Douglas QLD 4814"
Ashford Hospital,Ashford,SA,"55 Anzac Hwy, Ashford SA 5035"
Calvary Adelaide Hospital,Adelaide,SA,"120 Angas St, Adelaide SA 5000"
Lyell McEwin Hospital,Elizabeth Vale,SA,"Haydown Rd, Elizabeth Vale SA 5112"
Royal Adelaide Hospital,Adelaide,SA,"Port Rd, Adelaide SA 5000"
The Queen Elizabeth Hospital,Woodville Sth,SA,"28 Woodville Rd, Woodville South SA 5011"
Hobart Private Hospital,Hobart,TAS,"25 Argyle St, Hobart TAS 7000"
Launceston General Hospital,Launceston,TAS,"274-280 Charles St, Launceston TAS 7250"
Royal Hobart Hospital,Hobart,TAS,"48 Liverpool St, Hobart TAS 7000"
Albury Hospital,Albury,NSW/VIC border,"East St, South Albury NSW 2640"
Austin Hospital,Heidelberg,VIC,"145 Studley Rd, Heidelberg VIC 3084"
Ballarat Hospital,Ballarat,VIC,"1 Drummond St N, Ballarat Central VIC 3350"
Bendigo Health,Bendigo,VIC,"100 Barnard St, Bendigo VIC 3550"
Box Hill Hospital,Box Hill,VIC,"8 Arnold St, Box Hill VIC 3128"
Cabrini Health,Malvern,VIC,"183 Wattletree Rd, Malvern VIC 3144"
Epworth Eastern,Box Hill,VIC,"1 Arnold St, Box Hill VIC 3128"
Epworth Geelong,Waurn Ponds,VIC,"1 Epworth Pl, Waurn Ponds VIC 3216"
Epworth Richmond,Richmond,VIC,"89 Bridge Rd, Richmond VIC 3121"
Footscray Hospital,Footscray,VIC,"160 Gordon St, Footscray VIC 3011"
Frankston Hospital,Frankston,VIC,"2 Hastings Rd, Frankston VIC 3199"
Holmesglen Private Hospital,Moorabbin,VIC,"490 South Rd, Moorabbin VIC 3189"
Jessie McPherson Private Hospital,Clayton,VIC,"246 Clayton Rd, Clayton VIC 3168"
Knox Private Hospital,Wantirna,VIC,"262 Mountain Hwy, Wantirna VIC 3152"
Latrobe Regional Hospital,Traralgon,VIC,"10 Village Ave, Traralgon VIC 3844"
Melbourne Private Hospital,Parkville,VIC,"41-51 Flemington Rd, Parkville VIC 3052"
Mulgrave Private Hospital,Mulgrave,VIC,"1 Blackburn Rd, Mulgrave VIC 3170"
Northern Hospital,Epping,VIC,"185 Cooper St, Epping VIC 3076"
Peninsula Private Hospital,Frankston,VIC,"525 McClelland Dr, Frankston VIC 3199"
The Alfred,Melbourne,VIC,"55 Commercial Rd, Melbourne VIC 3004"
The Royal Melbourne Hospital,Parkville,VIC,"300 Grattan St, Parkville VIC 3050"
St John of God Ballarat,Ballarat,VIC,"101 Drummond St N, Ballarat Central VIC 3350"
St John of God Bendigo,Bendigo,VIC,"133-145 Lily St, Bendigo VIC 3550"
St John of God Berwick,Berwick,VIC,"75 Kangan Dr, Berwick VIC 3806"
St John of God Geelong,Geelong,VIC,"80 Myers St, Geelong VIC 3220"
St Vincents Hospital Melbourne,Fitzroy,VIC,"41 Victoria Parade, Fitzroy VIC 3065"
St Vincents Private Hospital Melbourne,Fitzroy,VIC,"59 Victoria Parade, Fitzroy VIC 3065"
St Vincents Private Hospital Werribee,Werribee,VIC,"240 Hoppers Ln, Werribee VIC 3030"
Sunshine Hospital,St Albans,VIC,"176 Furlong Rd, St Albans VIC 3021"
Victorian Heart Hospital,Clayton,VIC,"631 Blackburn Rd, Clayton VIC 3168"
University Hospital Geelong,Geelong,VIC,"1 Bellerine St, Geelong VIC 3220"
Warringal Private Hospital,Heidelberg,VIC,"216 Burgundy St, Heidelberg VIC 3084"
Western Private Hospital,Footscray,VIC,"44 Eleanor St, Footscray VIC 3011"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
