hospital_name,city,state,address,lat,long,query
Royal Perth Hospital,Perth,WA,"197 Wellington St, Perth WA 6000",-31.953512,115.865147,Royal Perth Hospital Perth WA Australia
Fiona Stanley Hospital,Murdoch,WA,"11 Robin Warren Dr, Murdoch WA 6150",-32.069502,115.835431,Fiona Stanley Hospital Murdoch WA Australia
Sir Charles Gairdner Hospital,Nedlands,WA,"Hospital Ave, Nedlands WA 6009",-31.967833,115.816667,Sir Charles Gairdner Hospital Nedlands WA Australia
The Canberra Hospital,Canberra,ACT,"Yamba Dr, Garran ACT 2605",-35.346111,149.102778,The Canberra Hospital Canberra ACT Australia
Concord Repatriation General Hospital,Sydney,NSW,"Hospital Rd, Concord NSW 2139",-33.840278,151.101944,Concord Repatriation General Hospital Sydney NSW Australia
Gosford Hospital,Gosford,NSW,"75 Holden St, Gosford NSW 2250",-33.428889,151.342222,Gosford Hospital Gosford NSW Australia
Nepean Hospital,Kingswood,NSW,"62 Derby St, Kingswood NSW 2747",-33.762778,150.721944,Nepean Hospital Kingswood NSW Australia
Orange Hospital,Orange,NSW,"1530 Forest Rd, Orange NSW 2800",-33.290556,149.116667,Orange Hospital Orange NSW Australia
Wollongong Hospital,Wollongong,NSW,"Loftus St, Wollongong NSW 2500",-34.418611,150.896944,Wollongong Hospital Wollongong NSW Australia
Royal Darwin Hospital,Darwin,NT,"105 Rocklands Dr, Tiwi NT 0810",-12.379444,130.876111,Royal Darwin Hospital Darwin NT Australia
Cairns Hospital,Cairns,QLD,"165-171 Esplanade, Cairns North QLD 4870",-16.904722,145.761944,Cairns Hospital Cairns QLD Australia
Gold Coast University Hospital,Southport,QLD,"1 Hospital Blvd, Southport QLD 4215",-27.960278,153.376944,Gold Coast University Hospital Southport QLD Australia
Ipswich Hospital,Ipswich,QLD,"Chelmsford Ave, Ipswich QLD 4305",-27.618333,152.760556,Ipswich Hospital Ipswich QLD Australia
Mackay Base Hospital,Mackay,QLD,"475 Bridge Rd, Mackay QLD 4740",-21.146667,149.180556,Mackay Base Hospital Mackay QLD Australia
Princess Alexandra Hospital,Brisbane,QLD,"199 Ipswich Rd, Woolloongabba QLD 4102",-27.494722,153.034167,Princess Alexandra Hospital Brisbane QLD Australia
Royal Brisbane and Womens Hospital,Brisbane,QLD,"Butterfield St, Herston QLD 4029",-27.448333,153.028611,Royal Brisbane and Womens Hospital Brisbane QLD Australia
Sunshine Coast University Hospital,Birtinya,QLD,"6 Doherty St, Birtinya QLD 4575",-26.729722,153.116944,Sunshine Coast University Hospital Birtinya QLD Australia
The Prince Charles Hospital,Brisbane,QLD,"Rode Rd & Hamilton Rd, Chermside QLD 4032",-27.386944,153.034444,The Prince Charles Hospital Brisbane QLD Australia
Townsville University Hospital,Douglas,QLD,"100 Angus Smith Dr, Douglas QLD 4814",-19.320556,146.760278,Townsville University Hospital Douglas QLD Australia
Ashford Hospital,Ashford,SA,"55 Anzac Hwy, Ashford SA 5035",-34.949722,138.576944,Ashford Hospital Ashford SA Australia
Calvary Adelaide Hospital,Adelaide,SA,"120 Angas St, Adelaide SA 5000",-34.932778,138.610556,Calvary Adelaide Hospital Adelaide SA Australia
Lyell McEwin Hospital,Elizabeth Vale,SA,"Haydown Rd, Elizabeth Vale SA 5112",-34.717222,138.674167,Lyell McEwin Hospital Elizabeth Vale SA Australia
Royal Adelaide Hospital,Adelaide,SA,"Port Rd, Adelaide SA 5000",-34.920833,138.585556,Royal Adelaide Hospital Adelaide SA Australia
The Queen Elizabeth Hospital,Woodville Sth,SA,"28 Woodville Rd, Woodville South SA 5011",-34.883611,138.543889,The Queen Elizabeth Hospital Woodville Sth SA Australia
Hobart Private Hospital,Hobart,TAS,"25 Argyle St, Hobart TAS 7000",-42.883889,147.326944,Hobart Private Hospital Hobart TAS Australia
Launceston General Hospital,Launceston,TAS,"274-280 Charles St, Launceston TAS 7250",-41.437778,147.141944,Launceston General Hospital Launceston TAS Australia
Royal Hobart Hospital,Hobart,TAS,"48 Liverpool St, Hobart TAS 7000",-42.881111,147.326389,Royal Hobart Hospital Hobart TAS Australia
Albury Hospital,Albury,NSW/VIC border,"East St, South Albury NSW 2640",-36.082778,146.910278,Albury Hospital Albury NSW Australia
Austin Hospital,Heidelberg,VIC,"145 Studley Rd, Heidelberg VIC 3084",-37.754167,145.060833,Austin Hospital Heidelberg VIC Australia
Ballarat Hospital,Ballarat,VIC,"1 Drummond St N, Ballarat Central VIC 3350",-37.552222,143.866111,Ballarat Hospital Ballarat VIC Australia
Bendigo Health,Bendigo,VIC,"100 Barnard St, Bendigo VIC 3550",-36.7625,144.262222,Bendigo Health Bendigo VIC Australia
Box Hill Hospital,Box Hill,VIC,"8 Arnold St, Box Hill VIC 3128",-37.817778,145.117778,Box Hill Hospital Box Hill VIC Australia
Cabrini Health,Malvern,VIC,"183 Wattletree Rd, Malvern VIC 3144",-37.858611,145.026944,Cabrini Health Malvern VIC Australia
Epworth Eastern,Box Hill,VIC,"1 Arnold St, Box Hill VIC 3128",-37.817222,145.118611,Epworth Eastern Box Hill VIC Australia
